City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$345,000",2 beds,2 baths,997 sq ft,"1690 SW 27th Ave #301, Miami, FL 33145",N/A
Florida,"$900,000",5 beds,3.5 baths,"2,110 sq ft","11520 SW 57th St, Miami, FL 33173",N/A
Florida,"$695,000",1 bed,1 bath,842 sq ft,"485 Brickell Ave #2107, Miami, FL 33131",N/A
Florida,"$1,350,000",7 beds,7 baths,"3,154 sq ft","11445 SW 51st St, Miami, FL 33165",N/A
Florida,"$239,000",2 beds,2 baths,898 sq ft,"11790 SW 18th St Unit 529-3, Miami, FL 33175",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$1,999,000",4 beds,3 baths,"2,634 sq ft","7980 SW 108th St, Miami, FL 33156",N/A
Florida,"$289,500",1 bed,1 bath,685 sq ft,"5077 NW 7th St #1505, Miami, FL 33126",N/A
Florida,"$205,000",2 beds,1 bath,730 sq ft,"Undisclosed address, Miami, FL 33143",N/A
Florida,"$874,900",4 beds,3 baths,"2,606 sq ft","3260 SW 149th Ave, Miami, FL 33185",N/A
Florida,"$205,000",2 beds,2 baths,750 sq ft,"Undisclosed address, Miami, FL 33143",N/A
Florida,"$490,000",3 beds,1.5 baths,"1,225 sq ft","12031 SW 191st Ter, Miami, FL 33177",N/A
Florida,"$430,000",3 beds,1.5 baths,"1,301 sq ft","101 NW 64th St, Miami, FL 33150",N/A
Florida,"$1,500,000",4 beds,4.5 baths,"2,750 sq ft","1644 NW 8th Ter, Miami, FL 33125",N/A
Florida,"$392,000",1 bed,1 bath,723 sq ft,"2001 Biscayne Blvd #2305, Miami, FL 33137",N/A
Florida,"$318,000",3 beds,2 baths,"1,262 sq ft","13700 SW 62nd St #232, Miami, FL 33183",N/A
Florida,"$510,000",3 beds,2.5 baths,"1,758 sq ft","12883 SW 134th Ter, Miami, FL 33186",N/A
Florida,"$1,050,000",3 beds,2 baths,"1,775 sq ft","9941 SW 97th Ct, Miami, FL 33176",N/A
Florida,"$249,000",1 bed,1 bath,— sq ft,"9330 Fontainebleau Blvd #503, Miami, FL 33172",N/A
Florida,"$349,900",3 beds,2 baths,"1,279 sq ft","870 NW 87th Ave #302, Miami, FL 33172",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$550,000",4 beds,3 baths,"1,926 sq ft","8495 SW 165th Pl, Miami, FL 33193",N/A
Florida,"$799,900",3 beds,2.5 baths,"2,232 sq ft","3082 SW 156th Ave, Miami, FL 33185",N/A
Florida,"$525,000",2 beds,2 baths,"1,057 sq ft","2650 SW 37th Ave #505, Miami, FL 33133",N/A
Florida,"$760,000",4 beds,2 baths,"2,579 sq ft","2100 NW 107th St, Miami, FL 33167",N/A
Florida,"$260,000",2 beds,2 baths,965 sq ft,"8520 SW 133rd Ave Rd #116, Miami, FL 33183",N/A
Florida,"$143,000",1 bed,1 bath,465 sq ft,"1021 NW 3rd St #306, Miami, FL 33128",N/A
Florida,"$449,000",3 beds,1 bath,"1,518 sq ft","12620 SW 188th Ter, Miami, FL 33177",N/A
Florida,"$695,000",3 beds,3 baths,"1,217 sq ft","5231 SW 5th Ter, Miami, FL 33134",N/A
Florida,"$449,999",1 bed,1.5 baths,850 sq ft,"1600 NE 1st Ave #1112, Miami, FL 33132",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$10,701,000",4 beds,4.5 baths,"3,542 sq ft","300 N Biscayne Blvd #8502, Miami, FL 33132",N/A
Florida,"$245,000",1 bed,1 bath,796 sq ft,"8255 SW 152 Ave Unit E PH 2, Miami, FL 33193",N/A
Florida,"$1,495,000",6 beds,5 baths,"2,662 sq ft","524 NE 65th St, Miami, FL 33138",N/A
Florida,"$612,000",2 beds,2 baths,"1,469 sq ft","4000 Towerside Ter #2201, Miami, FL 33138",N/A
Florida,"$2,135,000",3 beds,2.5 baths,"2,236 sq ft","455 NE 39th St #112, Miami, FL 33137",N/A
Florida,"$299,999",2 beds,2 baths,983 sq ft,"10855 SW 112th Ave #218, Miami, FL 33176",N/A
Florida,"$1,040,000",1 bed,2 baths,"1,022 sq ft","1000 Brickell Plz #2705, Miami, FL 33131",N/A
Florida,"$445,000",2 beds,1.5 baths,915 sq ft,"5701 Biscayne Blvd #701, Miami, FL 33137",N/A
Florida,"$2,995,000",3 beds,3.5 baths,"2,422 sq ft","300 Biscayne Blvd Way #2002, Miami, FL 33131",N/A
Florida,"$430,000",2 beds,1 bath,835 sq ft,"5408 SW 138th Ave, Miami, FL 33175",N/A
Florida,"$1,400,000",7 beds,5 baths,"2,765 sq ft","1051 NE 149th St, Miami, FL 33161",N/A
Florida,"$540,000",3 beds,2.5 baths,"1,733 sq ft","13336 SW 128th Psge, Miami, FL 33186",N/A
Florida,"$1,500,000",4 beds,3 baths,"2,408 sq ft","12305 SW 73rd Ave, Pinecrest, FL 33156",N/A
Florida,"$559,000",3 beds,2 baths,"1,014 sq ft","9101 NW 35th Ct, Miami, FL 33147",N/A
Florida,"$11,495,000",5 beds,7 baths,"10,178 sq ft","9505 SW 63rd Ct, Pinecrest, FL 33156",N/A
Florida,"$1,499,000",3 beds,3 baths,"1,642 sq ft","6332 SW 43rd St, South Miami, FL 33155",N/A
Florida,"$299,000",3 beds,2 baths,993 sq ft,"9808 Hammocks Blvd Unit 102-23, Miami, FL 33196",N/A
Florida,"$450,000",3 beds,2.5 baths,"1,393 sq ft","23235 SW 129th Path, Miami, FL 33170",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$2,695,000",5 beds,3.5 baths,"4,063 sq ft","7505 SW 129 St, Pinecrest, FL 33156",N/A
Florida,"$359,999",2 beds,2 baths,840 sq ft,"6493 SW 152nd Pl Unit 4-93, Miami, FL 33193",N/A
Florida,"$495,000",3 beds,2.5 baths,"1,545 sq ft","12945 SW 234th St, Homestead, FL 33032",N/A
Florida,"$750,000",4 beds,3 baths,"1,784 sq ft","17307 SW 115 Ave, Miami, FL 33157",N/A
Florida,"$2,175,000",4 beds,3.5 baths,"3,994 sq ft","9701 SW 96th Ct, Miami, FL 33176",N/A
Florida,"$430,000",1 bed,1 bath,651 sq ft,"1900 N Bayshore Dr #3003, Miami, FL 33132",N/A
Florida,"$199,900",0 beds,1 bath,400 sq ft,"555 NE 15th St #515, Miami, FL 33132",N/A
Florida,"$550,000",3 beds,3 baths,"1,328 sq ft","12254 NW 24th Pl, Miami, FL 33167",N/A
Florida,"$259,000",0 beds,1 bath,425 sq ft,"1200 Brickell Bay Dr #3316, Miami, FL 33131",N/A
Florida,"$269,990",2 beds,1 bath,866 sq ft,"2498 SW 17th Ave #4311, Miami, FL 33145",N/A
Florida,"$150,000",2 beds,2 baths,"1,192 sq ft","922 NE 199th St Unit 3D Apt 304, Miami, FL 33179",N/A
Florida,"$140,000",2 beds,2 baths,"1,192 sq ft","920 NE 199th St Unit 2S Apt 217, Miami, FL 33179",N/A
Florida,"$6,999,000",9 beds,8.5 baths,"9,651 sq ft","9500 SW 62nd Ct, Pinecrest, FL 33156",N/A
Florida,"$569,000",3 beds,2 baths,"1,245 sq ft","15021 SW 143rd St, Miami, FL 33196",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$399,999",2 beds,2 baths,"1,007 sq ft","975 SW 89th Ave, Miami, FL 33174",N/A
Florida,"$2,500,000",5 beds,3 baths,"5,412 sq ft","30 SW 21st Rd, Miami, FL 33129",N/A
Florida,"$890,000",1 bed,1 bath,737 sq ft,"1000 Brickell Plz #4504, Miami, FL 33131",N/A
Florida,"$2,850,000",4 beds,5 baths,"3,528 sq ft","2127 SW 11th Ter, Miami, FL 33135",N/A
Florida,"$449,999",0 beds,1 bath,466 sq ft,"229 SW 9th St #504, Miami, FL 33130",N/A
Florida,"$580,000",1 bed,1 bath,764 sq ft,"1395 Brickell Ave #2814, Miami, FL 33131",N/A
Florida,"$445,000",3 beds,2.5 baths,"1,260 sq ft","8755 SW 152nd Ave #166, Miami, FL 33193",N/A
Florida,"$2,390,000",4 beds,3 baths,"2,915 sq ft","3237 SW 99th Ave, Miami, FL 33165",N/A
Florida,"$625,000",4 beds,2 baths,"1,622 sq ft","1101 NW 40th St, Miami, FL 33127",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$474,800",3 beds,1 bath,936 sq ft,"14780 Harrison St, Miami, FL 33176",N/A
